companyname,companyid,gvkey,year,count
Alphabet Inc.,29096,160329.0,2014,335
Alphabet Inc.,29096,160329.0,2015,180
Alphabet Inc.,29096,160329.0,2016,150
Alphabet Inc.,29096,160329.0,2017,251
Alphabet Inc.,29096,160329.0,2018,248
Alphabet Inc.,29096,160329.0,2019,164
Alphabet Inc.,29096,160329.0,2020,199
Alphabet Inc.,29096,160329.0,2021,144
Alphabet Inc.,29096,160329.0,2022,231
Alphabet Inc.,29096,160329.0,2023,240
Alphabet Inc.,29096,160329.0,2024,22
Apple Inc.,24937,1690.0,2014,249
Apple Inc.,24937,1690.0,2015,229
Apple Inc.,24937,1690.0,2016,208
Apple Inc.,24937,1690.0,2017,321
Apple Inc.,24937,1690.0,2018,138
Apple Inc.,24937,1690.0,2019,156
Apple Inc.,24937,1690.0,2020,162
Apple Inc.,24937,1690.0,2021,127
Apple Inc.,24937,1690.0,2022,123
Apple Inc.,24937,1690.0,2023,132
Apple Inc.,24937,1690.0,2024,34
Eli Lilly and Company,285467,6730.0,2014,152
Eli Lilly and Company,285467,6730.0,2015,198
Eli Lilly and Company,285467,6730.0,2016,155
Eli Lilly and Company,285467,6730.0,2017,247
Eli Lilly and Company,285467,6730.0,2018,252
Eli Lilly and Company,285467,6730.0,2019,240
Eli Lilly and Company,285467,6730.0,2020,299
Eli Lilly and Company,285467,6730.0,2021,348
Eli Lilly and Company,285467,6730.0,2022,262
Eli Lilly and Company,285467,6730.0,2023,296
Eli Lilly and Company,285467,6730.0,2024,42
J.P. Morgan Exchange-Traded Fund Trust - JPMorgan Market Expansion Enhanced Equity ETF,1760410166,41231.0,2014,1
J.P. Morgan Exchange-Traded Fund Trust - JPMorgan Market Expansion Enhanced Equity ETF,1760410166,41231.0,2021,2
J.P. Morgan Exchange-Traded Fund Trust - JPMorgan Social Advancement ETF,1773503099,41562.0,2023,1
J.P. Morgan Exchange-Traded Fund Trust - JPMorgan Sustainable Consumption ETF,1774098704,41560.0,2023,1
"Meta Platforms, Inc.",20765463,170617.0,2014,109
"Meta Platforms, Inc.",20765463,170617.0,2015,107
"Meta Platforms, Inc.",20765463,170617.0,2016,110
"Meta Platforms, Inc.",20765463,170617.0,2017,159
"Meta Platforms, Inc.",20765463,170617.0,2018,260
"Meta Platforms, Inc.",20765463,170617.0,2019,157
"Meta Platforms, Inc.",20765463,170617.0,2020,150
"Meta Platforms, Inc.",20765463,170617.0,2021,171
"Meta Platforms, Inc.",20765463,170617.0,2022,216
"Meta Platforms, Inc.",20765463,170617.0,2023,195
"Meta Platforms, Inc.",20765463,170617.0,2024,20
Microsoft Corporation,21835,12141.0,2014,341
Microsoft Corporation,21835,12141.0,2015,326
Microsoft Corporation,21835,12141.0,2016,262
Microsoft Corporation,21835,12141.0,2017,497
Microsoft Corporation,21835,12141.0,2018,618
Microsoft Corporation,21835,12141.0,2019,497
Microsoft Corporation,21835,12141.0,2020,609
Microsoft Corporation,21835,12141.0,2021,618
Microsoft Corporation,21835,12141.0,2022,540
Microsoft Corporation,21835,12141.0,2023,603
Microsoft Corporation,21835,12141.0,2024,97
NVIDIA Corporation,32307,117768.0,2014,81
NVIDIA Corporation,32307,117768.0,2015,65
NVIDIA Corporation,32307,117768.0,2016,76
NVIDIA Corporation,32307,117768.0,2017,167
NVIDIA Corporation,32307,117768.0,2018,165
NVIDIA Corporation,32307,117768.0,2019,180
NVIDIA Corporation,32307,117768.0,2020,221
NVIDIA Corporation,32307,117768.0,2021,286
NVIDIA Corporation,32307,117768.0,2022,287
NVIDIA Corporation,32307,117768.0,2023,350
NVIDIA Corporation,32307,117768.0,2024,108
"Tesla, Inc.",27444752,184996.0,2014,105
"Tesla, Inc.",27444752,184996.0,2015,103
"Tesla, Inc.",27444752,184996.0,2016,103
"Tesla, Inc.",27444752,184996.0,2017,128
"Tesla, Inc.",27444752,184996.0,2018,108
"Tesla, Inc.",27444752,184996.0,2019,92
"Tesla, Inc.",27444752,184996.0,2020,101
"Tesla, Inc.",27444752,184996.0,2021,62
"Tesla, Inc.",27444752,184996.0,2022,54
"Tesla, Inc.",27444752,184996.0,2023,73
"Tesla, Inc.",27444752,184996.0,2024,9
Walmart Inc.,313055,11259.0,2014,210
Walmart Inc.,313055,11259.0,2015,154
Walmart Inc.,313055,11259.0,2016,129
Walmart Inc.,313055,11259.0,2017,204
Walmart Inc.,313055,11259.0,2018,254
Walmart Inc.,313055,11259.0,2019,151
Walmart Inc.,313055,11259.0,2020,156
Walmart Inc.,313055,11259.0,2021,235
Walmart Inc.,313055,11259.0,2022,235
Walmart Inc.,313055,11259.0,2023,211
Walmart Inc.,313055,11259.0,2024,31
